py_entry_time,py_entry_price,py_exit_time,py_exit_price,py_side,py_result,py_exit_reason,py_mae,py_mfe,py_ib_range,py_tie_break,py_realized_r,py_date,py_play,py_avwap_source,py_break_vs_avwap_0930,py_trend_misaligned,py_entry_dt,nt8_side,nt8_entry_time,nt8_entry_price,nt8_exit_time,nt8_exit_price,nt8_pnl,nt8_exit_reason,nt8_entry_dt,nt8_date,nt8_dt_diff,entry_time_diff_s,entry_price_diff,exit_price_diff,result_match
2026-04-28 10:38:00-04:00,27350.75,2026-04-28 15:50:00-04:00,27476.0,SHORT,-1,liquidation_1550,166.5,48.5,183.75,False,-1.5345,2026-04-28,1,parquet,-1.0,1,2026-04-28 10:38:00-04:00,SHORT,2026-04-28T10:40:00,27058.0,2026-04-28T17:00:00,27191.5,-2670.0,Exit on session close,2026-04-28 06:40:00-04:00,2026-04-28,14280.0,14280.0,292.75,284.5,True
2026-04-30 10:16:00-04:00,27460.0,2026-04-30 13:26:00-04:00,27748.5,SHORT,-1,stop,289.0,4.0,288.5,False,-2.659,2026-04-30,1,parquet,-1.0,1,2026-04-30 10:16:00-04:00,SHORT,2026-04-30T10:18:00,27168.0,2026-04-30T13:31:00,27466.0,-5960.0,Stop loss,2026-04-30 06:18:00-04:00,2026-04-30,14280.0,14280.0,292.0,282.5,True
2026-05-11 10:31:00-04:00,29553.5,2026-05-11 11:27:00-04:00,29706.75,SHORT,-1,stop,159.0,14.0,153.25,False,-2.7427,2026-05-11,1,parquet,-1.0,1,2026-05-11 10:31:00-04:00,SHORT,2026-05-11T10:33:00,29260.0,2026-05-11T11:28:00,29414.0,-3080.0,Stop loss,2026-05-11 06:33:00-04:00,2026-05-11,14280.0,14280.0,293.5,292.75,True
2026-05-12 10:03:00-04:00,29394.0,2026-05-12 10:33:00-04:00,29309.38,SHORT,1,target,127.0,94.75,186.25,False,1.0,2026-05-12,1,parquet,-1.0,1,2026-05-12 10:03:00-04:00,SHORT,2026-05-12T10:02:00,29120.5,2026-05-12T10:32:00,29040.25,1605.0,Profit target,2026-05-12 06:02:00-04:00,2026-05-12,14460.0,14460.0,273.5,269.130000000001,True
2026-05-18 10:30:00-04:00,29423.5,2026-05-18 10:34:00-04:00,29317.12,SHORT,1,target,45.0,118.0,221.25,False,1.0,2026-05-18,1,parquet,1.0,1,2026-05-18 10:30:00-04:00,SHORT,2026-05-18T10:32:00,29130.0,2026-05-18T10:35:00,29023.0,2140.0,Profit target,2026-05-18 06:32:00-04:00,2026-05-18,14280.0,14280.0,293.5,294.119999999999,True
2026-05-19 10:05:00-04:00,29129.25,2026-05-19 10:14:00-04:00,29034.12,SHORT,1,target,89.5,106.25,217.75,False,1.0,2026-05-19,1,parquet,1.0,1,2026-05-19 10:05:00-04:00,SHORT,2026-05-19T10:09:00,28783.75,2026-05-19T10:18:00,28703.5,1605.0,Profit target,2026-05-19 06:09:00-04:00,2026-05-19,14160.0,14160.0,345.5,330.619999999999,True
2026-05-22 10:06:00-04:00,29831.0,2026-05-22 11:19:00-04:00,29995.25,SHORT,-1,stop,164.25,48.0,164.25,False,-2.3761,2026-05-22,1,parquet,1.0,1,2026-05-22 10:06:00-04:00,SHORT,2026-05-22T10:08:00,29537.5,2026-05-22T11:20:00,29702.5,-3300.0,Stop loss,2026-05-22 06:08:00-04:00,2026-05-22,14280.0,14280.0,293.5,292.75,True
2026-05-25 10:32:00-04:00,30224.25,2026-05-25 10:42:00-04:00,30205.5,SHORT,1,target,10.5,21.0,54.0,False,1.0,2026-05-25,1,parquet,1.0,1,2026-05-25 10:32:00-04:00,SHORT,2026-05-25T10:34:00,29931.25,2026-05-25T11:12:00,29987.5,-1125.0,Stop loss,2026-05-25 06:34:00-04:00,2026-05-25,14280.0,14280.0,293.0,218.0,False
2026-05-27 10:25:00-04:00,30217.0,2026-05-27 15:50:00-04:00,30343.5,SHORT,-1,liquidation_1550,147.75,46.75,255.0,False,-1.1024,2026-05-27,1,parquet,-1.0,1,2026-05-27 10:25:00-04:00,SHORT,2026-05-27T10:27:00,29925.0,2026-05-27T17:00:00,30125.25,-4005.0,Exit on session close,2026-05-27 06:27:00-04:00,2026-05-27,14280.0,14280.0,292.0,218.25,True
2026-06-01 10:03:00-04:00,30592.75,2026-06-01 11:16:00-04:00,30754.0,SHORT,-1,stop,163.75,8.0,161.25,False,-2.1608,2026-06-01,1,parquet,-1.0,1,2026-06-01 10:03:00-04:00,SHORT,2026-06-01T10:05:00,30300.75,2026-06-01T11:16:00,30457.75,-3140.0,Stop loss,2026-06-01 06:05:00-04:00,2026-06-01,14280.0,14280.0,292.0,296.25,True
2026-06-04 10:05:00-04:00,30469.25,2026-06-04 10:59:00-04:00,30646.0,SHORT,-1,stop,183.5,25.5,176.75,False,-2.2917,2026-06-04,1,parquet,-1.0,1,2026-06-04 10:05:00-04:00,SHORT,2026-06-04T10:07:00,30176.5,2026-06-04T11:00:00,30353.25,-3535.0,Stop loss,2026-06-04 06:07:00-04:00,2026-06-04,14280.0,14280.0,292.75,292.75,True
2026-06-05 11:06:00-04:00,30061.75,2026-06-05 12:05:00-04:00,29899.0,SHORT,1,target,27.75,176.5,329.5,False,1.0,2026-06-05,1,parquet,-1.0,1,2026-06-05 11:06:00-04:00,SHORT,2026-06-05T10:02:00,29786.0,2026-06-05T11:40:00,29642.75,2865.0,Profit target,2026-06-05 06:02:00-04:00,2026-06-05,18240.0,18240.0,275.75,256.25,True
2026-06-09 10:09:00-04:00,29923.5,2026-06-09 10:13:00-04:00,29818.5,SHORT,1,target,42.5,138.5,215.0,False,1.0,2026-06-09,1,parquet,1.0,1,2026-06-09 10:09:00-04:00,SHORT,2026-06-09T10:11:00,29631.25,2026-06-09T10:14:00,29525.75,2110.0,Profit target,2026-06-09 06:11:00-04:00,2026-06-09,14280.0,14280.0,292.25,292.75,True
2026-06-16 10:19:00-04:00,30740.25,2026-06-16 10:23:00-04:00,30681.62,SHORT,1,target,34.75,59.75,138.25,False,1.0,2026-06-16,1,parquet,1.0,1,2026-06-16 10:19:00-04:00,SHORT,2026-06-16T10:21:00,30432.75,2026-06-16T10:24:00,30375.0,1155.0,Profit target,2026-06-16 06:21:00-04:00,2026-06-16,14280.0,14280.0,307.5,306.619999999999,True
2026-06-17 10:02:00-04:00,30340.75,2026-06-17 10:24:00-04:00,30537.0,SHORT,-1,stop,205.0,20.75,196.25,False,-2.1131,2026-06-17,1,parquet,-1.0,1,2026-06-17 10:02:00-04:00,SHORT,2026-06-17T10:04:00,30036.0,2026-06-17T10:24:00,30202.25,-3325.0,Stop loss,2026-06-17 06:04:00-04:00,2026-06-17,14280.0,14280.0,304.75,334.75,True
2026-06-29 10:04:00-04:00,29542.5,2026-06-29 10:12:00-04:00,29415.5,SHORT,1,target,39.25,157.0,283.0,False,1.0,2026-06-29,1,parquet,1.0,1,2026-06-29 10:04:00-04:00,,,,,,,,,,,,,,
